"","NucCoreID","BioSampleID","N.betalactamase.hits","Gene.hits","Country","Region","Year","TaxSpecies","TaxGenus","TaxFamily","TaxOrder","TaxClass","TaxPhylum","NCBI.host","NCBI.isolation_source","NCBI.env_local_scale","NCBI.collected_by","Contig"
"NZ_AP019818.1","NZ_AP019818.1","SAMD00167169",1,"CTX-M-2","Japan","East Asia & Pacific","2016","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"plasmid"
"NZ_AP019676.1","NZ_AP019676.1","SAMD00168435",1,"TEM-135","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP019678.1","NZ_AP019678.1","SAMD00168435",2,"TEM-216,CTX-M-55","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP024415.1","NZ_AP024415.1","SAMD00169927",3,"TEM-1,OXA-23,OXA-66","Cambodia","East Asia & Pacific","2017","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"chromosome"
"NZ_AP019688.1","NZ_AP019688.1","SAMD00171892",2,"CTX-M-2,OXA-10","missing","missing","2018","Klebsiella quasipneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"not applicable",NA,"plasmid"
"NZ_AP019762.1","NZ_AP019762.1","SAMD00172295",1,"TEM-1","Japan","East Asia & Pacific","2011","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"plasmid"
"NZ_AP023190.1","NZ_AP023190.1","SAMD00172786",1,"TEM-1","missing","missing","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"chromosome"
"NZ_AP023191.1","NZ_AP023191.1","SAMD00172786",3,"TEM-1,TEM-216,CTX-M-55","missing","missing","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"plasmid"
"NZ_AP023192.1","NZ_AP023192.1","SAMD00172786",1,"CTX-M-55","missing","missing","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"plasmid"
"NZ_AP023197.1","NZ_AP023197.1","SAMD00172787",1,"TEM-1","missing","missing","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"chromosome"
"NZ_AP023198.1","NZ_AP023198.1","SAMD00172787",3,"TEM-1,TEM-216,CTX-M-55","missing","missing","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"plasmid"
"NZ_AP023202.1","NZ_AP023202.1","SAMD00172787",1,"NDM-5","missing","missing","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"plasmid"
"NZ_AP022371.1","NZ_AP022371.1","SAMD00185877",2,"OXA-1,IMP-1","Japan","East Asia & Pacific","2018","Providencia rettgeri","Providencia","Morganellaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"chromosome"
"NZ_AP022376.1","NZ_AP022376.1","SAMD00185879",2,"OXA-2,IMP-11","Japan","East Asia & Pacific","2018","Providencia rettgeri","Providencia","Morganellaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"plasmid"
"NZ_AP022377.1","NZ_AP022377.1","SAMD00185880",1,"IMP-10","Japan","East Asia & Pacific","2018","Providencia stuartii","Providencia","Morganellaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"plasmid"
"NZ_AP021880.1","NZ_AP021880.1","SAMD00186795",3,"SHV-11,CTX-M-15,OXA-181","Nepal","South Asia","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"missing",NA,"chromosome"
"NZ_AP022362.1","NZ_AP022362.1","SAMD00186874",1,"IMP-6","Japan","East Asia & Pacific","2015","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not applicable",NA,"chromosome"
"NZ_AP021909.1","NZ_AP021909.1","SAMD00194339",1,"SHV-1","Japan","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP021911.1","NZ_AP021911.1","SAMD00194339",2,"TEM-1,CTX-M-15","Japan","East Asia & Pacific","2017","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021915.1","NZ_AP021915.1","SAMD00194346",2,"TEM-1,CTX-M-27","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021927.1","NZ_AP021927.1","SAMD00194350",2,"CTX-M-14,OXA-504","Japan","East Asia & Pacific","2018","Aeromonas caviae","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP021929.1","NZ_AP021929.1","SAMD00194355",1,"SHV-11","Japan","East Asia & Pacific","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP021931.1","NZ_AP021931.1","SAMD00194355",2,"TEM-1,CTX-M-15","Japan","East Asia & Pacific","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021934.1","NZ_AP021934.1","SAMD00194357",2,"TEM-1,CTX-M-65","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021935.1","NZ_AP021935.1","SAMD00194359",1,"CTX-M-14","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP021936.1","NZ_AP021936.1","SAMD00194360",1,"OXA-417","Japan","East Asia & Pacific","2018","Acinetobacter pittii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP021940.1","NZ_AP021940.1","SAMD00194363",1,"OXA-12","Japan","East Asia & Pacific","2018","Aeromonas veronii","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP021942.1","NZ_AP021942.1","SAMD00194363",1,"VEB-1","Japan","East Asia & Pacific","2018","Aeromonas veronii","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021945.1","NZ_AP021945.1","SAMD00194371",1,"CTX-M-55","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021948.1","NZ_AP021948.1","SAMD00194372",1,"CTX-M-8","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021952.1","NZ_AP021952.1","SAMD00194404",1,"GES-24","Japan","East Asia & Pacific","2018","Klebsiella quasipneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021953.1","NZ_AP021953.1","SAMD00194404",1,"GES-24","Japan","East Asia & Pacific","2018","Klebsiella quasipneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021954.1","NZ_AP021954.1","SAMD00194404",1,"GES-24","Japan","East Asia & Pacific","2018","Klebsiella quasipneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021964.1","NZ_AP021964.1","SAMD00194405",1,"CTX-M-27","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP021999.1","NZ_AP021999.1","SAMD00194413",1,"CTX-M-27","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022003.1","NZ_AP022003.1","SAMD00194414",2,"TEM-1,CTX-M-24","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022010.1","NZ_AP022010.1","SAMD00194418",1,"GES-6","Japan","East Asia & Pacific","2018","Klebsiella quasipneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022013.1","NZ_AP022013.1","SAMD00194421",2,"GES-24,OXA-504","Japan","East Asia & Pacific","2018","Aeromonas caviae","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022017.1","NZ_AP022017.1","SAMD00194422",1,"GES-24","Japan","East Asia & Pacific","2018","Klebsiella quasipneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022018.1","NZ_AP022018.1","SAMD00194422",1,"GES-24","Japan","East Asia & Pacific","2018","Klebsiella quasipneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022031.1","NZ_AP022031.1","SAMD00194426",2,"TEM-2,CTX-M-55","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022033.1","NZ_AP022033.1","SAMD00194427",1,"CTX-M-27","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022037.1","NZ_AP022037.1","SAMD00194428",1,"CTX-M-55","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022038.1","NZ_AP022038.1","SAMD00194437",1,"OXA-726","Japan","East Asia & Pacific","2019","Aeromonas veronii","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022039.1","NZ_AP022039.1","SAMD00194437",2,"TEM-1,CTX-M-3","Japan","East Asia & Pacific","2019","Aeromonas veronii","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022044.1","NZ_AP022044.1","SAMD00194451",1,"CTX-M-27","Japan","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022045.1","NZ_AP022045.1","SAMD00194451",1,"CTX-M-27","Japan","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022065.1","NZ_AP022065.1","SAMD00194467",1,"CTX-M-27","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022070.1","NZ_AP022070.1","SAMD00194468",2,"CTX-M-15,OXA-796","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022077.1","NZ_AP022077.1","SAMD00194470",1,"OXA-120","Japan","East Asia & Pacific","2018","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022078.1","NZ_AP022078.1","SAMD00194474",2,"SHV-187,CTX-M-2","Japan","East Asia & Pacific","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022080.1","NZ_AP022080.1","SAMD00194474",1,"OXA-10","Japan","East Asia & Pacific","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022081.1","NZ_AP022081.1","SAMD00194474",2,"CTX-M-2,IMP-1","Japan","East Asia & Pacific","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022091.1","NZ_AP022091.1","SAMD00194481",1,"CTX-M-14","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022096.1","NZ_AP022096.1","SAMD00194482",1,"TEM-1","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022097.1","NZ_AP022097.1","SAMD00194482",1,"CTX-M-8","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022098.1","NZ_AP022098.1","SAMD00194483",1,"CTX-M-14","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022105.1","NZ_AP022105.1","SAMD00194506",1,"CTX-M-14","Japan","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022106.1","NZ_AP022106.1","SAMD00194506",1,"TEM-1","Japan","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022107.1","NZ_AP022107.1","SAMD00194507",1,"CTX-M-15","Japan","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022110.1","NZ_AP022110.1","SAMD00194514",3,"VEB-3,OXA-10,OXA-504","Japan","East Asia & Pacific","2018","Aeromonas caviae","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022115.1","NZ_AP022115.1","SAMD00194518",3,"SHV-134,OXA-896,OXA-9","Japan","East Asia & Pacific","2018","Klebsiella quasipneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022121.1","NZ_AP022121.1","SAMD00194523",1,"TEM-1","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022122.1","NZ_AP022122.1","SAMD00194523",1,"CTX-M-8","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022128.1","NZ_AP022128.1","SAMD00194526",2,"TEM-1,CTX-M-3","Japan","East Asia & Pacific","2018","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022129.1","NZ_AP022129.1","SAMD00194526",1,"IMP-1","Japan","East Asia & Pacific","2018","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022134.1","NZ_AP022134.1","SAMD00194528",1,"CTX-M-9","Japan","East Asia & Pacific","2018","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022139.1","NZ_AP022139.1","SAMD00194529",2,"SHV-28,CTX-M-14","Japan","East Asia & Pacific","2018","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022143.1","NZ_AP022143.1","SAMD00194531",1,"CTX-M-3","Japan","East Asia & Pacific","2018","Klebsiella quasipneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022159.1","NZ_AP022159.1","SAMD00194533",2,"TEM-1,CTX-M-14","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022162.1","NZ_AP022162.1","SAMD00194534",2,"TEM-1,CTX-M-15","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022171.1","NZ_AP022171.1","SAMD00194535",1,"CTX-M-27","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
"NZ_AP022172.1","NZ_AP022172.1","SAMD00194535",1,"TEM-1","Japan","East Asia & Pacific","2018","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022174.1","NZ_AP022174.1","SAMD00194553",1,"CTX-M-14","Japan","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022178.1","NZ_AP022178.1","SAMD00194555",2,"TEM-1,CTX-M-15","Japan","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022185.1","NZ_AP022185.1","SAMD00194558",2,"TEM-1,CTX-M-15","Japan","East Asia & Pacific","2017","Klebsiella quasipneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"plasmid"
"NZ_AP022206.1","NZ_AP022206.1","SAMD00194576",2,"CTX-M-14,OXA-726","Japan","East Asia & Pacific","2018","Aeromonas hydrophila","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"wastewater treatment plant",NA,"chromosome"
